#        M_H  tanbeta            NLO                pdf_error_hi        pdf_error_lo   sigma_scale_nlo+  sigma_scale_nlo-	       
        260  1.600000e+01       1.226173e-01       +4.333225e-03       -4.333225e-03      +2.17e-02         -2.27e-02	   
        260  1.700000e+01       1.368361e-01       +4.835805e-03       -4.835805e-03      +2.43e-02         -2.54e-02	   
        260  1.800000e+01       1.520826e-01       +5.374621e-03       -5.374621e-03      +2.71e-02         -2.83e-02	   
        260  1.900000e+01       1.683321e-01       +5.948925e-03       -5.948925e-03      +3.00e-02         -3.14e-02	   
        260  2.000000e+01       1.855659e-01       +6.557998e-03       -6.557998e-03      +3.31e-02         -3.46e-02	   
        260  2.100000e+01       2.037695e-01       +7.201367e-03       -7.201367e-03      +3.64e-02         -3.81e-02	   
        260  2.200000e+01       2.229319e-01       +7.878547e-03       -7.878547e-03      +3.99e-02         -4.17e-02	   
        260  2.300000e+01       2.430441e-01       +8.589362e-03       -8.589362e-03      +4.35e-02         -4.55e-02	   
        260  2.400000e+01       2.640992e-01       +9.333479e-03       -9.333479e-03      +4.73e-02         -4.94e-02	   
        260  2.500000e+01       2.860916e-01       +1.011080e-02       -1.011080e-02      +5.12e-02         -5.36e-02	   
        260  2.600000e+01       3.090167e-01       +1.092101e-02       -1.092101e-02      +5.54e-02         -5.79e-02	   
        260  2.700000e+01       3.328706e-01       +1.176407e-02       -1.176407e-02      +5.97e-02         -6.24e-02	   
        260  2.800000e+01       3.576505e-01       +1.263976e-02       -1.263976e-02      +6.41e-02         -6.71e-02	   
        260  2.900000e+01       3.833536e-01       +1.354815e-02       -1.354815e-02      +6.87e-02         -7.19e-02	   
        260  3.000000e+01       4.099779e-01       +1.448913e-02       -1.448913e-02      +7.35e-02         -7.69e-02	   
        260  3.100000e+01       4.375215e-01       +1.546253e-02       -1.546253e-02      +7.85e-02         -8.21e-02	   
        260  3.200000e+01       4.659829e-01       +1.646836e-02       -1.646836e-02      +8.36e-02         -8.74e-02	   
        260  3.300000e+01       4.953609e-01       +1.750662e-02       -1.750662e-02      +8.89e-02         -9.29e-02	   
